,Code_INSEE,Tranche_detaillee_unite_urbaine
547,58211,0.0
548,53182,0.0
549,59107,1.0
550,86194,6.0
551,42112,0.0
552,91286,8.0
553,01154,
554,34114,2.0
555,68300,7.0
556,76640,7.0
557,55435,0.0
558,17335,0.0
559,44162,7.0
560,93046,8.0
561,24220,0.0
562,06162,0.0
563,13207,7.0
564,83065,2.0
565,50393,0.0
566,70388,4.0
567,84142,7.0
568,69387,7.0
569,67511,0.0
570,65047,5.0
571,21383,2.0
572,07186,3.0
573,41089,0.0
574,76278,0.0
575,67291,1.0
576,33490,0.0
577,67049,0.0
578,55029,3.0
579,38185,7.0
580,29232,5.0
581,56184,2.0
582,39500,1.0
583,62391,7.0
584,27306,0.0
585,13082,1.0
586,77243,8.0
587,57207,2.0
588,51108,5.0
589,07156,0.0
590,70310,3.0
591,38382,7.0
592,35353,4.0
593,86214,6.0
594,25304,6.0
595,28134,4.0
596,94080,8.0
597,92049,8.0
598,42183,7.0
599,84031,7.0
600,32311,0.0
601,30011,7.0
602,81258,0.0
603,32249,0.0
604,38246,0.0
605,31551,0.0
606,95063,8.0
607,57227,5.0
608,81132,0.0
609,77305,4.0
610,49222,0.0
611,64348,6.0
612,78638,8.0
613,60432,0.0
614,78650,8.0
615,78242,8.0
616,69389,7.0
617,60463,6.0
618,57414,0.0
619,95580,4.0
620,94079,8.0
621,40279,5.0
622,30173,5.0
623,78672,8.0
624,38281,7.0
625,34032,5.0
626,94044,8.0
627,27051,2.0
628,88231,0.0
629,76484,7.0
630,70374,0.0
631,40094,0.0
632,47201,5.0
633,74123,2.0
634,26362,6.0
635,22257,0.0
636,59392,6.0
637,45098,1.0
638,46048,
639,11279,1.0
640,91570,8.0
641,62588,1.0
642,32102,0.0
643,60012,1.0
644,31589,0.0
645,85234,3.0
646,54332,4.0
647,63411,0.0
648,42189,7.0
649,01306,1.0
650,51030,2.0
651,68256,7.0
652,74236,4.0
653,88225,0.0
654,84118,1.0
655,16015,6.0
656,35210,7.0
657,76152,0.0
658,47195,3.0
659,34299,3.0
660,12202,5.0
661,95607,8.0
662,22278,5.0
663,54397,3.0
664,78311,8.0
665,02408,4.0
666,33069,7.0
667,13056,7.0
668,45272,7.0
669,07138,0.0
670,06033,7.0
671,60563,0.0
672,26058,6.0
673,03045,0.0
674,29139,0.0
675,64171,0.0
676,59365,6.0
677,83027,7.0
678,49296,
679,26045,0.0
680,45275,0.0
681,38075,1.0
682,91471,8.0
683,58131,1.0
684,56127,0.0
685,68267,7.0
686,59357,1.0
687,35208,1.0
688,33505,0.0
689,33258,0.0
690,76109,0.0
691,13117,7.0
692,62573,7.0
693,36127,2.0
694,33063,7.0
695,91272,8.0
696,80688,1.0
697,94021,8.0
698,94019,8.0
699,36232,0.0
700,59152,7.0
701,01283,4.0
702,61482,1.0
703,83117,0.0
704,64259,0.0
705,25578,2.0
706,80021,6.0
707,45234,7.0
708,69384,7.0
709,83132,7.0
710,43137,3.0
711,36173,0.0
712,86066,4.0
713,93048,8.0
714,94058,8.0
715,14065,
716,57724,7.0
717,73103,6.0
718,71261,0.0
719,65235,2.0
720,92014,8.0
721,11428,0.0
722,13065,1.0
723,40015,0.0
724,06069,7.0
725,61293,1.0
726,59472,1.0
727,57668,0.0
728,35037,2.0
729,37072,2.0
730,77083,8.0
731,81243,0.0
732,19172,0.0
733,84054,7.0
734,68354,0.0
735,92025,8.0
736,59378,7.0
737,08096,0.0
738,91161,8.0
739,03101,5.0
740,44055,6.0
741,45155,3.0
742,17434,2.0
743,78124,8.0
744,33039,7.0
745,75103,8.0
746,27701,4.0
747,88247,5.0
748,02691,5.0
749,59155,6.0
750,67285,0.0
751,95323,8.0
752,64038,7.0
753,48034,1.0
754,59475,7.0
755,92036,8.0
756,13079,0.0
757,72101,0.0
758,33167,7.0
759,06089,7.0
760,62080,1.0
761,73087,6.0
762,56052,0.0
763,41136,2.0
764,77337,8.0
765,69383,7.0
766,05184,0.0
767,72071,2.0
768,27065,4.0
769,84038,7.0
770,63414,0.0
771,94016,8.0
772,91479,8.0
773,95585,8.0
774,29162,1.0
775,59527,7.0
776,88160,5.0
777,77053,3.0
778,62274,7.0
779,57096,1.0
780,45068,5.0
781,13062,7.0
782,69137,0.0
783,86041,6.0
784,14111,0.0
785,17483,0.0
786,59603,7.0
787,04111,2.0
788,62083,7.0
789,62688,4.0
790,13208,7.0
791,02238,0.0
792,23235,0.0
793,78497,0.0
794,75114,8.0
795,37014,2.0
796,11379,2.0
797,51217,1.0
798,45179,1.0
799,28378,0.0
800,49347,2.0
801,26088,5.0
802,69385,7.0
803,69284,7.0
804,48095,3.0
805,34077,7.0
806,34145,5.0
807,50236,1.0
808,57176,1.0
809,13098,7.0
810,51302,0.0
811,10437,0.0
812,91338,3.0
813,17484,1.0
814,76451,7.0
815,72180,2.0
816,77058,8.0
817,77252,0.0
818,45147,7.0
819,94052,8.0
820,56058,0.0
821,64469,6.0
822,90008,5.0
823,89102,0.0
824,26252,6.0
825,83055,3.0
826,01353,7.0
827,16152,0.0
828,73008,6.0
829,74200,5.0
830,31435,0.0
831,42026,0.0
832,49048,2.0
833,74225,3.0
834,59262,1.0
835,27112,1.0
836,77153,3.0
837,38087,7.0
838,89083,0.0
839,79191,5.0
840,94071,8.0
841,27275,3.0
842,78575,8.0
843,44161,1.0
844,34332,2.0
845,31311,0.0
846,67204,7.0
847,89419,1.0
848,55382,0.0
849,34300,1.0
850,63120,3.0
851,31567,0.0
852,85082,0.0
853,30223,5.0
854,40291,3.0
855,94043,8.0
856,67473,4.0
857,27119,0.0
858,55444,0.0
859,59170,7.0
860,56152,1.0
861,89221,0.0
862,12172,0.0
863,24318,0.0
864,69386,7.0
865,49054,1.0
866,41223,0.0
867,59183,6.0
868,71335,0.0
869,13215,7.0
870,62570,7.0
871,21412,0.0
872,63125,1.0
873,59599,7.0
874,92040,8.0
875,56206,5.0
876,40157,0.0
877,64511,6.0
878,79235,0.0
879,68253,0.0
880,40088,5.0
881,50542,0.0
882,34028,3.0
883,16350,0.0
884,83070,3.0
885,84035,7.0
886,70395,0.0
887,57660,5.0
888,31358,2.0
889,91521,8.0
890,57631,4.0
891,62014,7.0
892,01348,1.0
893,03310,5.0
894,14528,0.0
895,74012,6.0
896,75105,8.0
897,06046,7.0
898,64493,1.0
899,31065,1.0
900,72135,0.0
901,09282,1.0
902,69266,7.0
903,01354,6.0
904,38256,0.0
905,35288,4.0
906,68351,0.0
907,77317,1.0
908,16281,1.0
909,06108,7.0
910,35333,2.0
911,06147,7.0
912,63063,7.0
913,59559,1.0
914,43174,0.0
915,67076,0.0
916,62400,7.0
917,86137,2.0
918,67378,7.0
919,38544,5.0
920,83141,5.0
921,03082,2.0
922,33249,7.0
923,13216,7.0
924,85054,0.0
925,78396,8.0
926,16196,0.0
927,86027,6.0
928,89206,2.0
929,95199,8.0
930,77449,2.0
931,54574,0.0
932,68176,0.0
933,67555,0.0
934,91136,8.0
935,94011,8.0
936,75116,8.0
937,95637,8.0
938,50515,
939,38524,7.0
940,29239,3.0
941,83086,5.0
942,09188,0.0
943,82005,0.0
944,38504,1.0
945,83072,3.0
946,61079,0.0
947,53201,5.0
948,78361,8.0
949,2B257,0.0
950,45224,1.0
951,85060,
952,28123,0.0
953,22121,1.0
954,76141,0.0
955,47157,4.0
956,30128,1.0
957,67247,0.0
958,74191,1.0
959,57155,1.0
960,49026,0.0
961,84089,4.0
962,95176,8.0
963,86062,6.0
964,81116,3.0
965,45191,2.0
966,52449,2.0
967,57650,1.0
968,33485,0.0
969,21231,7.0
970,77468,8.0
971,85194,4.0
972,07145,0.0
973,90009,2.0
974,69286,7.0
975,30082,1.0
976,86211,0.0
977,84080,7.0
978,28041,0.0
979,53147,3.0
980,59067,3.0
981,80749,0.0
982,76271,0.0
983,02615,0.0
984,02173,3.0
985,36018,2.0
986,02722,4.0
987,55186,3.0
988,62540,7.0
989,91228,8.0
990,37233,7.0
991,35343,0.0
992,54430,7.0
993,62655,0.0
994,34226,0.0
995,59514,6.0
996,14514,2.0
997,77169,8.0
998,49007,7.0
999,14366,4.0
1000,13027,7.0
1001,35055,7.0
1002,78372,8.0
1003,19116,0.0
1004,88413,4.0
1005,22004,1.0
1006,77388,3.0
1007,04094,1.0
1008,15140,0.0
1009,80016,2.0
1010,95612,8.0
1011,38238,0.0
1012,50410,1.0
1013,38474,7.0
1014,60414,6.0
1015,44096,0.0
1016,54432,3.0
1017,88075,4.0
1018,33165,7.0
1019,70550,4.0
1020,56003,2.0
1021,46309,1.0
1022,81065,5.0
1023,06027,7.0
1024,72039,1.0
1025,69077,0.0
1026,74208,4.0
1027,41109,0.0
1028,18235,0.0
1029,62133,7.0
1030,10031,0.0
1031,92035,8.0
1032,87114,6.0
1033,26179,4.0
1034,57433,7.0
1035,61385,0.0
1036,44146,0.0
1037,60382,5.0
1038,49080,2.0
1039,17283,1.0
1040,63283,0.0
1041,47315,0.0
1042,47252,4.0
1043,44005,2.0
1044,81271,2.0
1045,68237,0.0
1046,33164,3.0
1047,56162,6.0
1048,93047,8.0
1049,38565,7.0
1050,42228,2.0
1051,59533,1.0
1052,03223,0.0
1053,72158,0.0
1054,52448,4.0
1055,44210,6.0
1056,51573,7.0
1057,34123,7.0
1058,17218,1.0
1059,37050,7.0
1060,30221,2.0
1061,30098,0.0
1062,84007,7.0
1063,62051,7.0
1064,10280,3.0
1065,41052,0.0
1066,27284,3.0
1067,14715,4.0
1068,06023,1.0
1069,59017,5.0
1070,57751,7.0
1071,72154,3.0
1072,62150,0.0
1073,79263,0.0
1074,06157,7.0
1075,45040,0.0
1076,01427,7.0
1077,88483,1.0
1078,55158,1.0
1079,67282,2.0
1080,31182,7.0
1081,47065,0.0
1082,18117,0.0
1083,52306,0.0
1084,30192,0.0
1085,16078,0.0
1086,44143,7.0
1087,56117,2.0
1088,14407,0.0
1089,71491,0.0
1090,71182,0.0
1091,83115,3.0
1092,67152,2.0
1093,45142,2.0
1094,91421,8.0
1095,04197,4.0
1096,77258,8.0
1097,06140,7.0
1098,65440,5.0
1099,64260,7.0
1100,68233,
1101,66014,1.0
1102,72231,1.0
1103,12145,4.0
1104,73243,6.0
1105,10342,0.0
1106,50502,4.0
1107,49056,0.0
1108,59033,6.0
1109,22369,0.0
1110,59544,7.0
1111,35319,0.0
1112,71555,1.0
1113,95500,8.0
1114,62549,2.0
1115,33009,5.0
1116,03038,0.0
1117,34139,0.0
1118,30189,6.0
1119,87001,2.0
1120,44046,0.0
1121,71040,4.0
1122,31541,7.0
1123,60075,0.0
1124,60471,3.0
1125,62173,7.0
1126,78322,8.0
1127,60235,0.0
1128,57323,2.0
1129,57336,4.0
1130,51135,0.0
1131,59421,7.0
1132,35093,4.0
1133,91692,8.0
1134,23001,0.0
1135,94059,8.0
1136,89137,0.0
1137,29298,0.0
1138,42172,0.0
1139,81052,5.0
1140,91207,8.0
1141,59163,7.0
1142,29019,7.0
1143,41296,0.0
1144,81164,0.0
1145,40184,2.0
1146,64445,6.0
1147,94060,8.0
1148,11264,0.0
1149,94018,8.0
1150,25034,
1151,91312,8.0
1152,23013,0.0
1153,02139,0.0
1154,93007,8.0
1155,62758,5.0
1156,29235,7.0
1157,11076,3.0
1158,57567,0.0
1159,57218,0.0
1160,50173,
1161,68297,4.0
1162,26235,3.0
1163,30179,2.0
1164,78267,8.0
1165,59032,7.0
1166,53034,2.0
1167,91425,8.0
1168,25388,6.0
1169,69027,7.0
1170,60492,0.0
1171,67234,0.0
1172,81060,3.0
1173,76402,7.0
1174,06105,7.0
1175,56130,0.0
1176,22013,0.0
1177,06030,7.0
1178,91086,8.0
1179,30132,2.0
1180,59569,7.0
1181,37027,7.0
1182,89055,1.0
1183,29105,3.0
1184,84088,7.0
1185,69191,7.0
1186,19005,2.0
1187,83069,7.0
1188,93014,8.0
1189,91201,8.0
1190,83023,4.0
1191,61460,0.0
1192,85128,2.0
1193,95210,8.0
