,Carrosserie,Code_vehicule,Alimentation,Boite_vitesse,Date_debut_comerc,Date_fin_comerc,Groupe_vehicule,Classe_vehicule,Puissance_vehicule
48295,MONOSPACE,NA37015,ES,A,1012006,2052008.0,30,J,7.0
48296,BERLINE,VW11224,ES,A,1994,1994.0,30,K,10.0
48297,COUPE,ME39672,GO,M,13042010,22032013.0,36,R,9.0
48298,MONOSPACE,RE65027,ES,A,1042004,1092004.0,34,O,11.0
48299,BERLINE,FO07286,ES,M,1981,1982.0,27,G,5.0
48300,AUTRE,RE84047,GO,M,28092010,1122011.0,33,O,8.0
48301,BERLINE,VW45218,GO,M,1042013,6032014.0,29,I,4.0
48302,CABRIOLET,RE66753,GO,M,17122007,5012009.0,33,N,8.0
48303,BERLINE,OP37009,ES,M,4072014,,31,H,6.0
48304,BERLINE,RE50013,ES,M,1997,1998.0,27,D,4.0
48305,MONOSPACE,BM73058,GO,M,1112014,1022018.0,32,N,6.0
48306,BERLINE,VO25205,ES,A,2042004,1122006.0,36,Q,15.0
48307,BERLINE,KA10046,GO,M,1092011,27012015.0,28,G,4.0
48308,BERLINE,BM66195,ES,A,1092011,2072012.0,40,U,21.0
48309,BERLINE,PE30050,ES,A,2000,11092000.0,28,G,6.0
48310,CABRIOLET,RE66142,ES,M,15092003,18072005.0,33,M,9.0
48311,CABRIOLET,AU19437,ES,M,7122009,6122010.0,34,Q,
48312,COUPE,BM59293,GO,A,27032007,30092008.0,36,R,12.0
48313,BERLINE,BM66240,GO,M,1092011,1072013.0,38,R,12.0
48314,BERLINE,BM58070,ES,M,27032007,1092007.0,32,L,7.0
48315,BERLINE,AU18297,ES,M,25012001,1042002.0,34,N,9.0
48316,BERLINE,SE07090,GO,M,1062004,1062004.0,34,M,8.0
48317,BERLINE,RE66174,GO,M,15102003,15102003.0,30,K,5.0
48318,BERLINE,PE28288,GO,M,1032002,2122002.0,33,M,8.0
48319,BERLINE,VW49447,ES,M,1102015,17012017.0,32,K,6.0
48320,BERLINE,DS03085,ES,A,2102017,3042018.0,31,L,5.0
48321,BERLINE,BM70830,GO,A,1062016,1062018.0,36,Q,
48322,BERLINE,BM70A22,ES,M,1042018,1062018.0,36,Q,10.0
48323,BERLINE,PE50031,ES,M,4052015,2112015.0,28,F,4.0
48324,BERLINE,CI28070,ES,M,1995,1996.0,34,N,10.0
48325,LIMOUSINE,BM64171,ES,A,1062017,1062018.0,40,HC,21.0
48326,BERLINE,VW22034,ES,A,1992,1992.0,30,J,12.0
48327,BERLINE,AU28534,GO,S,3022017,5092018.0,32,M,6.0
48328,BERLINE,BM70775,GO,M,1032016,1112016.0,36,P,10.0
48329,BERLINE,RO31016,GO,M,1102003,1102003.0,30,J,6.0
48330,BERLINE,MN01702,ES,M,1022018,,31,K,5.0
48331,BERLINE,RE66452,GP,M,18072005,18072005.0,32,K,6.0
48332,BERLINE,SE08143,ES,M,1012001,1032002.0,28,G,5.0
