,Carrosserie,Code_vehicule,Alimentation,Boite_vitesse,Date_debut_comerc,Date_fin_comerc,Groupe_vehicule,Classe_vehicule,Puissance_vehicule
8216,BERLINE,SK12101,ES,M,1012016,1012017.0,30,J,5.0
8217,BERLINE,SK11009,ES,M,1062012,5102015.0,27,E,3.0
8218,FOURGONNETTE,VO05015,ES,M,1984,9999.0,31,H,11.0
8219,BERLINE,PE10053,ES,M,1990,1992.0,33,J,9.0
8220,MONOSPACE,BM73030,ES,A,25092014,1022018.0,37,O,13.0
8221,BERLINE,FO28071,GO,M,1072001,16072001.0,32,K,7.0
8222,BERLINE,SE02876,GO,M,27092012,23042014.0,30,H,5.0
8223,MONOSPACE,VW25230,ES,S,14032018,,33,O,9.0
8224,BERLINE,SE17193,GO,S,7102015,5082016.0,30,I,4.0
8225,BREAK,CI08035,GO,M,1985,1985.0,29,K,9.0
8226,FOURGONNETTE,FO16006,GO,M,1994,1995.0,27,F,7.0
8227,BREAK,CI08067,ES,M,1984,1985.0,33,M,12.0
8228,BERLINE,PE34173,GO,M,27022006,2052007.0,32,M,6.0
8229,MONOSPACE,SK09048,GO,M,3052010,17022014.0,29,I,5.0
8230,FOURGONNETTE,CI54050,GO,M,2112010,10102011.0,29,I,5.0
8231,PICK-UP,NA36045,GO,A,1112014,1042016.0,33,O,8.0
8232,BREAK,PE14027,GO,M,1977,1978.0,27,G,8.0
8233,BERLINE,RE51125,ES,M,1999,2000.0,37,O,13.0
8234,FOURGONNETTE,FO15117,ES,M,1986,1989.0,32,I,11.0
8235,BERLINE,ME39534,ES,A,1092006,6012009.0,40,U,30.0
8236,BERLINE,RE30072,GO,M,1992,1992.0,28,G,6.0
8237,BERLINE,BM25203,ES,M,1032005,1092006.0,37,Q,14.0
8238,4x4-AUTRES,TO12102,GO,M,28092002,1022008.0,34,T,15.0
8239,BERLINE,PE13104,ES,M,1994,1994.0,30,H,7.0
8240,BERLINE,AU12101,ES,A,1993,1993.0,33,M,16.0
8241,BERLINE,BM66890,GO,A,1062018,,35,R,8.0
8242,FOURGONNETTE,CI07054,ES,M,1987,1988.0,30,H,9.0
8243,BERLINE,RE42025,ES,M,1987,1987.0,25,C,4.0
8244,4x4-SUV,FO23024,GO,M,1999,1999.0,31,N,10.0
8245,FOURGONNETTE,NA21002,GO,M,1995,1996.0,32,K,10.0
8246,BERLINE,OP06021,ES,M,1986,1987.0,26,D,4.0
8247,BERLINE,VW12569,ES,M,26042007,24092007.0,31,H,7.0
8248,4x4-AUTRES,LR03054,GO,M,1995,1998.0,32,R,10.0
8249,BERLINE,VW45271,GO,M,6032014,1102017.0,30,J,4.0
8250,BERLINE,VO20082,ES,M,1995,1995.0,32,M,10.0
8251,MONOSPACE,VW34187,GO,M,26042007,25042009.0,33,M,8.0
8252,4x4-SUV,LR03048,GO,A,1994,1995.0,30,Q,10.0
8253,BERLINE,AU37022,GO,M,8102009,6122010.0,35,P,10.0
8254,4x4-SUV,SZ09024,ES,A,13092005,17072006.0,31,M,10.0
8255,BERLINE,RE63019,GO,A,15102003,4092006.0,33,P,10.0
8256,BERLINE,BM69339,GO,A,1032015,,32,N,6.0
8257,FOURGONNETTE,PE26097,GO,M,1998,1998.0,32,O,8.0
8258,BERLINE,VW45086,GO,M,12072010,6032014.0,29,J,4.0
8259,FOURGONNETTE,CI30033,ES,M,1993,1994.0,29,F,8.0
8260,FOURGONNETTE,RE78177,GO,M,3062014,1062016.0,29,K,5.0
8261,BERLINE,BM69060,GO,A,22092011,1112013.0,36,O,10.0
8262,BERLINE,ME49100,GO,M,15092004,15062012.0,31,L,6.0
8263,PICK-UP,MI09049,GO,M,8032013,21032014.0,35,M,8.0
8264,FOURGONNETTE,VW01397,GN,M,19122016,,31,L,5.0
8265,BERLINE,VO15042,ES,M,1995,1995.0,30,I,7.0
8266,BERLINE,PE07115,ES,M,1992,1992.0,29,F,5.0
8267,BERLINE,AU15604,GO,A,1022005,2012006.0,38,R,15.0
8268,MONOSPACE,SK09033,GO,M,1012009,1012010.0,29,H,5.0
8269,BERLINE,PE13017,ES,M,1988,1989.0,33,I,9.0
8270,BERLINE,VW12402,ES,M,1012004,1012004.0,28,G,4.0
8271,BERLINE,JA12022,GO,A,1012007,1072008.0,36,R,13.0
8272,BERLINE,HD24018,GO,M,1072010,3012011.0,28,H,4.0
8273,BREAK,ME03009,GO,M,1986,1988.0,32,O,7.0
8274,MONOSPACE,FO34163,ES,M,31012014,26022018.0,32,L,6.0
8275,BERLINE,VO33037,ES,A,17022002,1072002.0,36,O,13.0
8276,BERLINE,CI08077,ES,M,1985,1985.0,35,M,12.0
8277,BERLINE,ME63011,ES,A,12042013,18012016.0,38,S,12.0
8278,FOURGONNETTE,RE78064,GO,M,30092011,29012013.0,28,I,5.0
8279,MONOSPACE,VW36046,GO,S,1082005,5102007.0,33,M,8.0
8280,BERLINE,BM70352,ES,A,1072013,1072015.0,36,P,9.0
8281,BERLINE,FO21686,GO,S,15032010,6092010.0,34,N,9.0
8282,BERLINE,VW12020,ES,M,1983,1989.0,27,B,5.0
8283,BERLINE,BM70429,GO,A,1032014,1062016.0,39,S,20.0
8284,BERLINE,AU39147,GO,M,24112014,,30,L,4.0
8285,BERLINE,OP06050,ES,M,1988,1989.0,27,C,5.0
8286,MONOSPACE,VW36006,GO,M,16032005,1122005.0,33,M,8.0
8287,MONOSPACE,VW25106,ES,A,1062003,1122004.0,33,O,10.0
8288,FOURGONNETTE,FI08032,ES,M,1993,1994.0,29,H,9.0
8289,BERLINE,MZ13018,ES,M,1993,1996.0,28,F,6.0
8290,BERLINE,DW06008,ES,M,2000,15092002.0,26,B,4.0
8291,FOURGONNETTE,MT04016,ES,M,1982,9999.0,28,D,8.0
8292,FOURGONNETTE,FI26072,ES,M,1997,1997.0,28,D,7.0
8293,MONOSPACE,VW34052,GO,S,1032004,1122005.0,33,N,8.0
8294,BERLINE,ME11011,GO,A,1979,1982.0,28,M,10.0
8295,MONOSPACE,CI44002,GO,M,15062002,26122005.0,31,O,7.0
8296,MONOSPACE,LA16017,GO,M,28092006,1072008.0,32,O,8.0
8297,BREAK,FO12142,GO,M,1995,1997.0,33,M,7.0
8298,BREAK,VW11134,ES,M,1988,1989.0,32,J,7.0
8299,BERLINE,VW28329,GO,M,1062003,1012004.0,33,N,8.0
8300,4x4-AUTRES,LR07017,ES,M,1999,1999.0,30,L,9.0
8301,BERLINE,VO32220,ES,A,4052010,17102011.0,37,S,16.0
8302,BREAK,AU06095,GO,M,1987,1987.0,30,M,6.0
8303,BERLINE,BM69059,GO,A,22092011,1112013.0,36,O,10.0
8304,PICK-UP,NA36013,GO,M,2072007,1112010.0,33,N,8.0
8305,LUDOSPACE,FI46020,GO,M,1072013,1072014.0,28,H,4.0
8306,BERLINE,FI26204,GO,M,26092002,2012003.0,30,H,5.0
8307,BERLINE,JA17049,ES,A,15022017,,38,R,15.0
8308,FOURGONNETTE,RE56074,ES,M,15112004,18072005.0,28,G,7.0
8309,MONOSPACE,FO34207,ES,M,19092016,26022018.0,33,M,8.0
8310,BERLINE,ME40189,GO,A,17072017,,40,HC,17.0
8311,BERLINE,SE02822,ES,S,1022012,12052015.0,31,I,6.0
8312,FOURGONNETTE,RE56035,GO,M,1062001,15012002.0,29,H,7.0
8313,BERLINE,RE07566,ES,M,15102003,15102003.0,28,G,4.0
8314,LUDOSPACE,VW01048,ES,M,1112006,4062010.0,29,I,6.0
8315,BREAK,ME03028,ES,M,1985,1985.0,31,R,9.0
8316,BERLINE,PE07168,GO,M,1994,1996.0,29,G,5.0
8317,BERLINE,VW12309,ES,A,7122001,1012004.0,29,H,6.0
8318,4x4-SUV,LR02002,GO,M,1990,1990.0,31,M,8.0
8319,BERLINE,FO21759,GO,A,7022011,2042013.0,35,O,12.0
8320,BERLINE,VW35135,GO,S,1122004,6022007.0,33,M,8.0
8321,BERLINE,ME64277,ES,M,20062018,,33,N,7.0
8322,BERLINE,VO38089,GO,M,14042010,2012013.0,32,L,6.0
8323,4x4-SUV,TO12136,GO,M,28092006,9012009.0,33,P,12.0
8324,FOURGONNETTE,IU01017,GO,M,1971,1971.0,32,M,12.0
8325,BERLINE,SE02179,ES,M,1995,1995.0,28,E,6.0
8326,MONOSPACE,CI50175,GO,S,2012013,2052013.0,31,N,6.0
8327,4x4-SUV,LR03120,ES,A,1072009,1092012.0,40,HC,44.0
8328,BERLINE,ME49124,ES,M,18012005,3062009.0,31,K,7.0
8329,CABRIOLET,ME48094,ES,M,8092003,1092006.0,35,Q,10.0
8330,BERLINE,ME49069,GO,M,8092003,8012004.0,30,K,5.0
8331,4x4-SUV,LR01038,GO,M,1102002,1092003.0,29,N,10.0
8332,FOURGONNETTE,OP09019,ES,A,1983,9999.0,28,A,7.0
8333,BERLINE,FI10094,ES,M,1993,1993.0,28,E,7.0
8334,BERLINE,PE32162,ES,M,1112003,1112003.0,29,H,5.0
8335,FOURGONNETTE,FO15265,GO,M,2000,4042005.0,32,L,8.0
8336,FOURGONNETTE,RE33015,ES,M,1987,1991.0,29,H,10.0
8337,BERLINE,VW28364,ES,M,1062003,1012004.0,35,N,11.0
8338,BERLINE,TO34040,ES,M,1062009,16072013.0,30,I,6.0
8339,FOURGONNETTE,RE78193,GO,M,3062014,1062016.0,29,L,5.0
8340,BERLINE,BM16113,ES,M,8022003,8022003.0,33,M,7.0
8341,FOURGONNETTE,VW16049,GO,M,1991,1991.0,29,I,10.0
8342,FOURGONNETTE,ME01002,GO,M,1988,1992.0,29,K,10.0
8343,BERLINE,JA15144,ES,A,14062017,,39,S,19.0
8344,FOURGONNETTE,NA23016,ES,M,1996,1999.0,30,H,8.0
8345,4x4-SUV,DW07002,GO,M,2000,2042002.0,31,L,9.0
8346,BERLINE,PO12016,ES,A,1062013,30062017.0,41,HC,20.0
8347,LUDOSPACE,RE55017,GP,M,1999,1999.0,27,G,5.0
8348,COUPE,BM71443,ES,A,1032017,,39,S,21.0
8349,COUPE,SB04132,ES,M,1092001,1022002.0,35,L,10.0
8350,CABRIOLET,BM62027,ES,A,22092009,1032011.0,40,HC,27.0
8351,BERLINE,AU49034,ES,S,19052016,5092018.0,37,N,10.0
8352,MONOSPACE,ME53031,GO,M,8092003,1072006.0,31,Q,8.0
8353,BERLINE,FO21553,GO,M,27062007,15032010.0,33,M,7.0
8354,4x4-SUV,JP01020,ES,M,2042004,2042004.0,32,L,13.0
8355,BERLINE,RE51158,ES,M,1999,1999.0,33,K,7.0
8356,CABRIOLET,VO31144,ES,A,3032009,15102009.0,34,P,11.0
8357,FOURGONNETTE,FI39018,ES,M,29072002,1042003.0,27,F,7.0
8358,MONOSPACE,NA45008,GO,M,18012010,1122011.0,30,K,6.0
8359,BERLINE,NA09043,ES,M,1995,1996.0,33,L,10.0
8360,MONOSPACE,ME56025,GO,A,20032008,12012010.0,37,S,15.0
8361,BERLINE,RE66088,ES,M,1102003,18072005.0,32,J,7.0
8362,MONOSPACE,CI50023,GO,M,12022007,2052008.0,31,L,6.0
8363,BERLINE,RE80111,GO,M,6072009,5012010.0,30,K,5.0
8364,BERLINE,CI57156,ES,M,1102015,3072017.0,29,H,4.0
8365,CABRIOLET,AU18722,ES,A,3012005,1062005.0,37,S,15.0
8366,CABRIOLET,BM71478,ES,M,1032017,1062018.0,38,S,15.0
8367,BERLINE,SE12145,GO,M,15122009,1042011.0,31,L,5.0
8368,BERLINE,PE30347,GO,M,3052004,30052005.0,31,J,6.0
8369,FOURGONNETTE,CI27026,ES,M,1984,1987.0,26,C,6.0
8370,FOURGONNETTE,FI04040,ES,M,1991,1992.0,25,F,6.0
8371,CABRIOLET,ME63306,GO,A,31072014,19122016.0,37,S,11.0
8372,FOURGONNETTE,RE18010,GO,M,1984,1989.0,31,L,8.0
8373,BERLINE,OP09136,ES,M,1987,1987.0,28,F,5.0
8374,BERLINE,TO28054,ES,M,2012002,2012002.0,29,G,6.0
8375,MONOSPACE,KA11003,ES,M,1092002,30062004.0,31,J,8.0
8376,BERLINE,AU42307,GO,S,28042016,15062018.0,39,S,16.0
8377,BERLINE,OP09067,GO,M,1983,1984.0,28,G,4.0
8378,FOURGONNETTE,RE78050,GO,M,4012011,1122011.0,30,J,5.0
8379,CABRIOLET,BM71450,GO,M,1032017,,36,Q,10.0
8380,BERLINE,FI26172,GO,M,8012001,1022001.0,29,H,5.0
8381,4x4-SUV,JP03063,ES,A,1042016,,38,T,27.0
8382,BERLINE,FO13127,ES,A,1983,1983.0,31,I,11.0
8383,CABRIOLET,CH12037,ES,M,1022006,2112007.0,33,L,10.0
8384,4x4-SUV,TO12152,GO,M,2102008,6052010.0,32,N,12.0
8385,BERLINE,PE07150,ES,M,1993,1994.0,26,D,4.0
8386,BERLINE,OP16155,ES,A,1998,1998.0,33,J,8.0
8387,BERLINE,ME38643,GO,M,1062005,1092006.0,38,Q,14.0
8388,COUPE,BM71215,GO,A,1072014,1032017.0,39,R,15.0
8389,FOURGONNETTE,RE56082,GO,M,19122005,4092006.0,27,H,6.0
8390,BERLINE,PE31083,GO,M,2072007,4042011.0,33,Q,8.0
8391,LUDOSPACE,RE55160,GO,M,18072005,4092006.0,27,H,4.0
8392,MONOSPACE,MI10011,ES,M,1999,1999.0,31,J,8.0
8393,BERLINE,JA12017,GO,M,6072005,6072005.0,36,R,12.0
8394,FOURGONNETTE,OP29100,GO,M,1072016,,29,J,4.0
8395,4x4-SUV,LR07083,GO,M,12102001,13052002.0,30,M,8.0
8396,BERLINE,BM67252,GO,A,1102010,1032012.0,36,O,10.0
8397,BERLINE,FO08068,ES,M,1988,1989.0,26,C,5.0
8398,4x4-SUV,NA35025,GO,A,2072007,2022009.0,33,Q,12.0
8399,CABRIOLET,SB04081,ES,M,1999,9021999.0,36,Q,12.0
8400,FOURGONNETTE,CI39162,ES,M,21052007,2052008.0,28,G,8.0
8401,FOURGONNETTE,OP29102,GO,M,1072016,,30,J,5.0
8402,BERLINE,AU33535,GO,M,30012013,10072013.0,38,Q,14.0
8403,BERLINE,SR02003,ES,A,1993,1994.0,30,K,9.0
8404,BERLINE,BM66909,ES,A,1062018,,39,S,15.0
8405,BERLINE,SE12038,ES,M,9092005,18022009.0,31,I,7.0
8406,LUDOSPACE,RE55151,GO,M,1092004,15112004.0,28,I,5.0
8407,MONOSPACE,RE57008,GO,M,1999,2000.0,32,O,7.0
8408,BERLINE,DH15004,ES,A,2072008,26012009.0,29,I,7.0
8409,BREAK,VO11002,ES,M,1976,1978.0,31,M,15.0
8410,FOURGONNETTE,RE43079,ES,M,1981,1982.0,28,F,8.0
8411,BERLINE,AU15717,GO,A,1062006,15092008.0,38,T,
8412,BERLINE,ME40073,ES,A,17012006,4012011.0,41,HC,29.0
8413,BERLINE,CI08013,ES,M,1981,9999.0,31,E,12.0
8414,BERLINE,RE74025,GO,A,13102007,6072009.0,33,N,9.0
8415,FOURGONNETTE,RE43097,ES,M,1995,1997.0,30,I,12.0
8416,BERLINE,FO08231,ES,M,1993,1993.0,26,D,5.0
8417,BERLINE,BM46035,ES,M,1997,1997.0,37,P,14.0
8418,BERLINE,CI04114,ES,M,1993,1993.0,28,D,5.0
8419,MONOSPACE,CH04057,ES,A,1999,15022001.0,33,P,12.0
8420,COUPE,BM68064,ES,A,2072012,1032015.0,41,HC,34.0
8421,BERLINE,FO21486,GO,M,1062006,31052007.0,33,M,7.0
8422,4x4-SUV,ME42037,ES,A,1999,12052000.0,33,U,17.0
8423,COUPE,FO04022,ES,M,1978,1979.0,29,H,9.0
8424,BREAK,ME12003,ES,M,1980,1981.0,33,N,15.0
8425,MONOSPACE,RE69096,ES,A,4092006,2102008.0,33,L,9.0
8426,BERLINE,ME49430,ES,M,3072015,1062018.0,31,L,5.0
8427,BERLINE,AU06005,ES,M,1976,1978.0,32,A,11.0
8428,FOURGONNETTE,FI10034,ES,M,1984,9999.0,27,A,5.0
8429,BERLINE,CV17001,ES,M,18032009,1012011.0,31,I,7.0
8430,BERLINE,RE51077,ES,A,1997,1997.0,35,O,16.0
8431,BERLINE,RE66673,GO,M,4092006,8012008.0,34,L,8.0
8432,FOURGONNETTE,FI39309,GO,M,14062016,,29,K,4.0
8433,4x4-SUV,LR02065,GO,A,15072003,15122003.0,31,O,11.0
8434,LUDOSPACE,CI10023,ES,M,1992,1992.0,26,F,5.0
8435,BERLINE,OP09361,GO,M,1991,1991.0,27,H,5.0
8436,BERLINE,FO08145,GO,M,1992,1992.0,27,F,5.0
8437,BERLINE,AU15378,ES,V,1072001,2012004.0,34,O,10.0
8438,MONOSPACE,FI49083,ES,M,1062015,1092017.0,31,J,5.0
8439,BERLINE,VW04100,ES,M,1990,1992.0,27,F,6.0
8440,BERLINE,ME38030,ES,M,1994,1994.0,34,O,10.0
8441,4x4-SUV,LR03025,ES,M,1990,1991.0,34,O,19.0
8442,4x4-AUTRES,LR03051,ES,M,1995,1998.0,35,R,23.0
8443,BERLINE,OP16365,GO,M,30052002,30052002.0,33,M,8.0
8444,MONOSPACE,RE65062,GO,M,31032006,5012009.0,35,Q,11.0
8445,BERLINE,SB02006,ES,A,1990,1990.0,35,S,9.0
8446,BERLINE,AU40001,ES,S,27072010,6122010.0,39,T,20.0
8447,AUTRE,MN02229,ES,M,1112016,1022018.0,33,M,7.0
8448,BERLINE,FI19174,ES,M,1042014,1012017.0,29,H,4.0
8449,MONOSPACE,OP24104,GO,M,3122007,2042009.0,32,M,
8450,CABRIOLET,BM68027,ES,A,1092011,2072012.0,40,HC,31.0
8451,BERLINE,NA23128,GO,M,23092004,23092004.0,29,J,5.0
8452,BERLINE,FI42050,GN,M,1102008,1042010.0,28,I,4.0
8453,FOURGONNETTE,OP09296,ES,M,1990,1991.0,29,F,8.0
8454,BERLINE,CI38096,ES,A,1999,1999.0,29,G,6.0
8455,BERLINE,VW51022,ES,M,2102014,,34,M,8.0
8456,BERLINE,ME72006,ES,A,18012016,,37,R,10.0
8457,BREAK,CI08050,ES,M,1982,9999.0,31,G,10.0
8458,BERLINE,AR08094,GO,S,1022016,,32,L,6.0
8459,BREAK,ME12030,ES,A,1980,1981.0,33,N,16.0
8460,BERLINE,SZ11005,ES,M,28092000,1022002.0,28,G,6.0
8461,MONOSPACE,RE67158,GO,M,31032006,1042009.0,33,M,8.0
8462,4x4-SUV,SZ10001,ES,M,1011999,1012004.0,27,H,6.0
8463,AUTRE,BM27086,ES,M,1032005,1092006.0,38,R,18.0
8464,BERLINE,BM70119,GO,A,2072012,1032015.0,35,Q,10.0
8465,BERLINE,LR09139,GO,A,1062017,,33,R,10.0
8466,BERLINE,AU33255,ES,M,19102009,23042015.0,33,N,7.0
8467,MONOSPACE,RE67076,ES,M,15122003,18072005.0,32,L,8.0
8468,BREAK,BE02014,ES,M,1987,1988.0,30,H,11.0
8469,MONOSPACE,OP24070,GO,M,15092005,1012010.0,30,K,6.0
8470,BERLINE,NA23134,GO,M,23092004,1012006.0,31,K,7.0
8471,FOURGONNETTE,FO07221,GO,M,1989,1990.0,27,F,7.0
8472,MONOSPACE,CH04040,ES,M,1996,1996.0,33,L,10.0
8473,4x4-SUV,SZ02012,ES,M,1995,1995.0,28,J,9.0
8474,BERLINE,CI34072,GO,M,1996,1996.0,29,J,7.0
8475,CABRIOLET,BM58268,GO,A,27032008,1112013.0,35,P,10.0
8476,BERLINE,FI26327,ES,M,12012012,12112013.0,31,H,6.0
8477,COUPE,BM71545,ES,M,1032017,1062018.0,38,P,15.0
8478,4x4-SUV,DG02003,GO,M,1062007,2032009.0,33,N,12.0
8479,FOURGONNETTE,SE02149,ES,M,1994,1994.0,27,E,7.0
8480,FOURGONNETTE,PE04018,GO,M,1988,1991.0,31,K,8.0
8481,BERLINE,SB01144,ES,A,1997,1997.0,36,P,9.0
8482,FOURGONNETTE,FI09068,GO,M,1993,1995.0,27,F,7.0
8483,BERLINE,RO07019,ES,M,1992,1992.0,33,J,9.0
8484,MONOSPACE,CI64124,GO,M,1012015,1062016.0,30,L,5.0
8485,BERLINE,FI04106,ES,M,10092003,1062006.0,27,D,4.0
8486,CABRIOLET,ME39040,ES,M,1994,1994.0,38,U,18.0
8487,MONOSPACE,RE67048,ES,A,1092003,18072005.0,31,K,7.0
8488,FOURGONNETTE,CI71026,GO,M,10092018,,32,L,5.0
8489,BERLINE,BM01033,ES,M,1032016,,41,U,32.0
8490,CABRIOLET,BM60005,ES,S,1032012,1032015.0,42,HC,47.0
8491,FOURGONNETTE,PE13098,ES,M,1993,1994.0,30,I,9.0
8492,BERLINE,VW12604,GO,M,26042007,24092007.0,31,J,6.0
8493,BERLINE,OP06333,ES,A,1999,1081999.0,28,F,5.0
8494,BERLINE,CI61071,GO,A,1042015,1102015.0,32,M,6.0
8495,BREAK,FO13263,GO,M,1993,1993.0,29,J,5.0
8496,BERLINE,PE34018,ES,A,22042004,5062006.0,36,O,14.0
8497,4x4-SUV,JP01067,ES,A,2012012,,34,O,20.0
8498,BERLINE,BM59160,GO,M,1092006,1092007.0,36,O,12.0
8499,BERLINE,RE07582,ES,S,15122003,1042004.0,29,G,5.0
8500,4x4-SUV,LR02117,GO,A,1122006,1122006.0,34,R,14.0
8501,CABRIOLET,MZ04022,ES,M,15102005,1022006.0,32,L,8.0
8502,BERLINE,BM58192,ES,A,1092007,22092009.0,38,P,17.0
8503,COUPE,ME66316,ES,A,15042016,29062018.0,39,S,22.0
8504,BERLINE,VW11760,GO,M,15112010,2102014.0,32,N,5.0
8505,BREAK,MZ15112,ES,M,1993,1995.0,29,G,7.0
8506,MONOSPACE,TO37054,GO,M,9022012,16042013.0,32,M,7.0
8507,LUDOSPACE,RE55149,ES,M,1092004,15112004.0,29,H,6.0
8508,MONOSPACE,RE81024,GO,M,11062009,6072009.0,32,N,7.0
8509,CABRIOLET,RE66501,GO,A,19122005,8012008.0,32,N,8.0
8510,CAMIONNETTE,RE43778,GO,M,5012010,28092010.0,32,M,7.0
8511,BERLINE,AU47094,GO,M,12112015,27042017.0,34,O,10.0
8512,CABRIOLET,SB04096,GP,M,1999,9021999.0,33,O,
8513,MONOSPACE,HD17003,GO,M,15012002,15012002.0,29,I,5.0
8514,BERLINE,VW44002,ES,M,1102008,1122010.0,30,I,5.0
8515,FOURGONNETTE,OP06263,ES,M,1996,2000.0,27,D,8.0
8516,4x4-AUTRES,LR03127,GO,A,6092012,,36,HC,16.0
8517,BERLINE,RE30144,GO,M,1994,1995.0,28,H,6.0
8518,MONOSPACE,OP24175,GO,M,3082016,1122017.0,33,L,7.0
8519,CABRIOLET,MN01304,GO,M,4032013,1032015.0,31,N,5.0
8520,BERLINE,SE02343,GO,M,2000,2102000.0,28,F,4.0
8521,FOURGONNETTE,FI03014,GO,M,1994,1996.0,26,F,7.0
8522,MONOSPACE,FI49125,GO,S,4042017,1092017.0,29,K,5.0
8523,4x4-SUV,LR07007,GO,M,1998,1998.0,29,L,8.0
8524,BERLINE,FO08098,ES,M,1991,1992.0,28,F,6.0
8525,BREAK,PE13058,ES,M,1992,1992.0,30,I,7.0
8526,FOURGONNETTE,RE10057,GO,M,1996,1996.0,30,M,8.0
8527,PICK-UP,LR01084,GO,M,1122006,10072011.0,29,M,8.0
8528,MONOSPACE,RE69130,ES,A,4092006,1042009.0,32,M,9.0
8529,BERLINE,MG04005,ES,M,13122002,1012005.0,34,N,10.0
8530,BERLINE,PE47148,ES,M,1062015,2072018.0,36,L,11.0
8531,FOURGONNETTE,PE26127,GO,M,2000,5062000.0,33,L,8.0
8532,BERLINE,CI28085,GO,M,1995,1996.0,33,P,7.0
8533,MONOSPACE,KA11048,GO,M,22042013,1062015.0,32,M,7.0
8534,BERLINE,VW02016,ES,M,4112011,1112014.0,33,L,9.0
8535,FOURGONNETTE,VW09002,GO,M,1991,1996.0,31,M,8.0
8536,BERLINE,IF05027,ES,A,1072016,,41,R,29.0
8537,BERLINE,PE07007,ES,M,1985,1987.0,25,C,4.0
8538,BERLINE,RE71012,ES,A,16092005,19122005.0,31,H,7.0
8539,BERLINE,AU19020,ES,M,1999,1082002.0,34,M,9.0
8540,BERLINE,AU37188,GO,M,25042013,4102016.0,34,P,8.0
8541,BERLINE,OP17566,GO,M,2012010,28112011.0,30,J,5.0
8542,BERLINE,AU24005,GO,M,20022001,1072004.0,29,J,4.0
8543,4x4-SUV,JP06001,GO,M,2112007,30092010.0,32,M,9.0
8544,CABRIOLET,BM71198,ES,A,1072014,1032016.0,36,R,10.0
8545,FOURGONNETTE,FO07216,GO,M,1985,1986.0,27,E,6.0
8546,BERLINE,SE02441,ES,M,1042004,1052008.0,34,J,9.0
8547,MONOSPACE,RE57012,ES,M,1999,2000.0,33,N,9.0
8548,BERLINE,BM69310,GO,M,1032015,,32,L,6.0
8549,BERLINE,SK11004,ES,M,1062012,,27,D,3.0
8550,FOURGONNETTE,VW01403,GO,S,19122016,,33,M,7.0
8551,BERLINE,BM25128,GO,A,27112001,2092002.0,36,Q,11.0
8552,BERLINE,PE37309,GO,M,4102010,28022011.0,31,K,5.0
8553,BERLINE,BM66503,ES,A,1072013,1072014.0,39,T,20.0
8554,BERLINE,OP06236,ES,M,1994,1994.0,27,E,6.0
8555,BERLINE,AU18380,ES,V,1012002,1042002.0,34,O,9.0
8556,BERLINE,AU19628,GO,S,19092013,24042014.0,32,N,5.0
8557,MONOSPACE,VW25180,GO,M,6102011,22072013.0,32,P,7.0
8558,BERLINE,RE71067,ES,M,16092005,19122005.0,31,H,7.0
8559,BERLINE,AU06030,GO,M,1979,1982.0,28,F,7.0
8560,BERLINE,VW11497,GO,M,1082002,1122004.0,33,N,8.0
8561,MONOSPACE,CI50002,ES,M,5102006,4072008.0,32,K,8.0
8562,4x4-AUTRES,NA06019,GO,M,1993,1993.0,31,N,9.0
8563,BERLINE,VW35315,GO,S,24042008,1092008.0,32,L,6.0
8564,BREAK,ME10036,ES,M,1991,1992.0,31,R,13.0
8565,CABRIOLET,AU49112,GO,M,19052016,26042018.0,34,P,8.0
8566,FOURGONNETTE,CI39150,GO,M,23122006,2052008.0,28,I,6.0
8567,FOURGONNETTE,FI33002,ES,M,1996,12121997.0,29,I,9.0
8568,BERLINE,AR20027,ES,M,1999,1082001.0,31,H,7.0
8569,BREAK,OP09038,ES,M,1984,1984.0,29,H,6.0
8570,BREAK,MZ19001,ES,M,1974,9999.0,30,A,10.0
8571,MONOSPACE,OP30114,ES,M,24062016,1062017.0,31,J,6.0
8572,BERLINE,AU37388,GO,M,27042017,,34,Q,8.0
8573,BREAK,VW11063,GO,M,1985,1985.0,30,I,5.0
8574,4x4-SUV,SZ10039,ES,M,15012007,1092011.0,27,H,8.0
8575,BERLINE,PE10008,ES,M,1987,1987.0,27,E,5.0
8576,BERLINE,BM35005,ES,A,1987,1988.0,36,R,16.0
8577,BERLINE,CI42055,ES,A,2092002,24052004.0,32,M,9.0
8578,BERLINE,DC02028,GP,M,6072010,4012011.0,28,E,4.0
8579,MONOSPACE,SE10120,GO,S,1092010,23012013.0,34,P,10.0
8580,FOURGONNETTE,ME37015,GO,M,1996,1999.0,31,M,12.0
8581,BERLINE,MN01715,ES,M,1022018,,33,M,7.0
8582,BREAK,FO13220,GO,M,1992,1992.0,27,J,5.0
8583,BERLINE,FI45006,GO,M,1032007,1102008.0,34,K,8.0
8584,BERLINE,VO32002,ES,M,1999,10012000.0,37,P,13.0
8585,FOURGONNETTE,CI11009,GO,M,1991,1994.0,31,L,10.0
8586,4x4-SUV,LR07065,GO,A,26092002,1042003.0,30,O,8.0
8587,CABRIOLET,AU31084,GO,M,7052009,5082011.0,35,Q,9.0
8588,BERLINE,HD21065,GO,M,10012012,28032014.0,31,K,5.0
8589,FOURGONNETTE,FI39249,GN,M,1012015,,31,K,5.0
8590,MONOSPACE,ME46018,ES,A,1998,1998.0,34,Q,20.0
